url,route_id,scraped_timestamp,name,location,sector,nearest_city,elevation,first_ascent_year,first_ascensionists,latitude,longitude,access_type,mountain_characteristics,nearby_excursions,description,avalanche_info,has_avalanche_info,is_alta_montana,has_glacier,is_volcano,avalanche_priority
https://www.andeshandbook.org/montanismo/cerro/2237/xxx,2237,2025-07-20T22:53:49.451781,Cerro Chaka Apachita (5135m) - Andeshandbook,"Peru, Moquegua",Cordillera Barroso,Moquegua,5135.0,null,,"-16deg 39' 31.6""","-70deg 1' 54.9""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2236/xxx,2236,2025-07-20T22:53:49.463590,Cerro Sirka Sirka (5245m) - Andeshandbook,"Peru, MoqueguaPeru, Puno",Ciudad mas cercana: Moquegua,Moquegua,5245.0,null,,"-16deg 33' 27.2""","-70deg 10' 49.3""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2239/xxx,2239,2025-07-20T22:53:49.525360,Cerro Choreveco (5176m) - Andeshandbook,"Peru, Tacna",Cordillera Barroso,Tacna,5176.0,null,,"-17deg 7' 34""","-70deg 5' 49.6""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2238/xxx,2238,2025-07-20T22:53:49.529926,Cerro Quinaquinani (5208m) - Andeshandbook,"Peru, MoqueguaPeru, Puno",Ciudad mas cercana: Moquegua,Moquegua,5208.0,null,,"-16deg 38' 0.6""","-70deg 2' 11.5""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2240/xxx,2240,2025-07-20T22:53:49.533908,Cerro Chiarjaque (5448m) - Andeshandbook,"Peru, Tacna",Cordillera Barroso,Tacna,5448.0,null,,"-17deg 6' 33""","-70deg 12' 46.4""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2242/xxx,2242,2025-07-20T22:53:51.277214,Cerro Coruna (5709m) - Andeshandbook,"Peru, Tacna",Cordillera Barroso,Tacna,5709.0,null,,"-17deg 29' 15.6""","-69deg 51' 12.7""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2241/xxx,2241,2025-07-20T22:53:51.316611,Cerro Chontacollo (5497m) - Andeshandbook,"Peru, Tacna",Cordillera Barroso,Tacna,5497.0,null,,"-17deg 26' 9.6""","-69deg 51' 11.9""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2244/xxx,2244,2025-07-20T22:53:51.354223,Cerro Warawarani (5253m) - Andeshandbook,"Peru, Tacna",Cordillera Barroso,Tacna,5253.0,null,,"-17deg 25' 18""","-69deg 39' 43.8""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2243/xxx,2243,2025-07-20T22:53:51.368695,Cerro Antajave (5390m) - Andeshandbook,"Peru, Tacna",Cordillera Barroso,Tacna,5390.0,null,,"-17deg 20' 8""","-69deg 50' 44.6""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
https://www.andeshandbook.org/montanismo/cerro/2247/xxx,2247,2025-07-20T22:53:51.396506,Cerro Hatun Pastu (5201m) - Andeshandbook,"Peru, Puno",Lago Titicaca,Puno,5201.0,null,,"-15deg 19' 34.5""","-70deg 42' 31.7""",No especificado,"Alta Montaña, Área protegida",,"Presentacion CERRO PUBLICADO CON INFORMACION INCOMPLETA Este cerro ha sido publicado sin tener aun toda su informacion completa. Si tienes informacion acerca de el, la puedes aportar escribiendo a [email protected] . A pesar de estar, por ahora, incompleta la informacion del cerro, ya puedes hacer lo siguiente: Firmar su libro de cumbre Revisar su posicion en el mapa y en Google Earth Aportar fotos y videos Aportar rutas asociadas a el Aportar tracks para GPS asociados a el",,false,true,false,false,false
